Mot,Ligne,Colonne,Page,identifiant,
,,,v@a-z_verbes_-_2,v_verbes,
W,1,2,a-z_verbes_-_2,w@a-z_verbes_-_2,
,,,w@a-z_verbes_-_2,w_verbes,
X,1,3,a-z_verbes_-_2,x@a-z_verbes_-_2,
,,,x@a-z_verbes_-_2,x_verbes,
Y,1,4,a-z_verbes_-_2,y@a-z_verbes_-_2,
,,,y@a-z_verbes_-_2,y_verbes,
Z,1,5,a-z_verbes_-_2,z@a-z_verbes_-_2,
,,,z@a-z_verbes_-_2,z_verbes,
PAGE PRÉCÉDENTE,4,7,a-z_verbes_-_2,page_précédente@a-z_verbes_-_2,
,,,page_précédente@a-z_verbes_-_2,a-z_verbes,
JE,1,1,o_verbes,je@o_verbes,
TU ,2,1,o_verbes,tu@o_verbes,
ÇA,3,1,o_verbes,ça@o_verbes,
ÊTRE,1,2,o_verbes,être@o_verbes,
ORDONNER,2,2,o_verbes,ordonner@o_verbes,
VOULOIR,1,3,o_verbes,vouloir@o_verbes,
ORGANISER,2,3,o_verbes,organiser@o_verbes,
AIMER,1,4,o_verbes,aimer@o_verbes,
OUBLIER,2,4,o_verbes,oublier@o_verbes,
FAIRE,1,5,o_verbes,faire@o_verbes,
OUVRIR,2,5,o_verbes,ouvrir@o_verbes,
OBSERVER,1,6,o_verbes,observer@o_verbes,
OBTENIR,1,7,o_verbes,obtenir@o_verbes,
PAS,2,7,o_verbes,pas@o_verbes,
ENCORE,1,8,o_verbes,encore@o_verbes,
C’EST FINI,2,8,o_verbes,c’est_fini@o_verbes,
JE,1,1,c_verbes,je@c_verbes,
TU ,2,1,c_verbes,tu@c_verbes,
ÇA,3,1,c_verbes,ça@c_verbes,
CHATOUILLER,4,1,c_verbes,chatouiller@c_verbes,
ÊTRE,1,2,c_verbes,être@c_verbes,
CALCULER,2,2,c_verbes,calculer@c_verbes,
CHANGER,3,2,c_verbes,changer@c_verbes,
CHERCHER,4,2,c_verbes,chercher@c_verbes,
VOULOIR,1,3,c_verbes,vouloir@c_verbes,
CAMPER,2,3,c_verbes,camper@c_verbes,
CHANTER,3,3,c_verbes,chanter@c_verbes,
CHIALER,4,3,c_verbes,chialer@c_verbes,
AIMER,1,4,c_verbes,aimer@c_verbes,
CANCANER,2,4,c_verbes,cancaner@c_verbes,
CHANTONNER,3,4,c_verbes,chantonner@c_verbes,
CHOISIR,4,4,c_verbes,choisir@c_verbes,
FAIRE,1,5,c_verbes,faire@c_verbes,
CASSER,2,5,c_verbes,casser@c_verbes,
CHARGER,3,5,c_verbes,charger@c_verbes,
CHUCHOTER,4,5,c_verbes,chuchoter@c_verbes,
CACHER,1,6,c_verbes,cacher@c_verbes,
CAUSER,2,6,c_verbes,causer@c_verbes,
CHARGER,3,6,c_verbes,charger@c_verbes,
CIRER,4,6,c_verbes,cirer@c_verbes,
CAFARDER,1,7,c_verbes,cafarder@c_verbes,
PAS,2,7,c_verbes,pas@c_verbes,
CHASSER,3,7,c_verbes,chasser@c_verbes,
CLAQUER,4,7,c_verbes,claquer@c_verbes,
ENCORE,1,8,c_verbes,encore@c_verbes,
C’EST FINI,2,8,c_verbes,c’est_fini@c_verbes,
CHATTER,3,8,c_verbes,chatter@c_verbes,
PAGE SUIVANTE,4,8,c_verbes,page_suivante@c_verbes,
